Year,City,ipc cases
2017,Ahmedabad,20628
2017,Bengaluru,69326
2017,Chennai,35330
2017,Coimbatore,4117
2017,Delhi,365368
2017,Ghaziabad,9813
2017,Hyderabad,22866
2017,Indore,14240
2017,Jaipur,24380
2017,Kanpur,9238
2017,Kochi,17882
2017,Kolkata,35804
2017,Kozhikode,6520
2017,Lucknow,22377
2017,Mumbai,105404
2017,Nagpur,16167
2017,Patna,25607
2017,Pune,24290
2017,Surat,21416
2018,Ahmedabad,135846
2018,Bengaluru,83591
2018,Chennai,36469
2018,Coimbatore,8877
2018,Delhi,236005
2018,Ghaziabad,19442
2018,Hyderabad,39440
2018,Indore,61119
2018,Jaipur,86885
2018,Kanpur,18124
2018,Kochi,97010
2018,Kolkata,75835
2018,Kozhikode,12576
2018,Lucknow,42784
2018,Mumbai,236372
2018,Nagpur,95256
2018,Patna,100493
2018,Pune,134734
2018,Surat,96958
2019,Ahmedabad,149437
2019,Bengaluru,85793
2019,Chennai,39308
2019,Coimbatore,8536
2019,Delhi,277589
2019,Ghaziabad,23471
2019,Hyderabad,39771
2019,Indore,66157
2019,Jaipur,92410
2019,Kanpur,20849
2019,Kochi,91961
2019,Kolkata,76605
2019,Kozhikode,12814
2019,Lucknow,50572
2019,Mumbai,249922
2019,Nagpur,94992
2019,Patna,105755
2019,Pune,140775
2019,Surat,107926
2020,Ahmedabad,192206
2020,Bengaluru,84851
2020,Chennai,37539
2020,Coimbatore,16129
2020,Delhi,316171
2020,Ghaziabad,27471
2020,Hyderabad,40890
2020,Indore,68395
2020,Jaipur,92485
2020,Kanpur,22092
2020,Kochi,79356
2020,Kolkata,101797
2020,Kozhikode,12685
2020,Lucknow,73221
2020,Mumbai,255355
2020,Nagpur,97109
2020,Patna,105955
2020,Pune,148684
2020,Surat,132368
2021,Ahmedabad,26884
2021,Bengaluru,30423
2021,Chennai,153362
2021,Coimbatore,4891
2021,Delhi,379758
2021,Ghaziabad,12479
2021,Hyderabad,26675
2021,Indore,18731
2021,Jaipur,28887
2021,Kanpur,9591
2021,Kochi,7191
2021,Kolkata,30223
2021,Kozhikode,7047
2021,Lucknow,20051
2021,Mumbai,159746
2021,Nagpur,20343
2021,Patna,22040
2021,Pune,32168
2021,Surat,32383
