Year,City,Below 6 Years- M,Below 6 Years- F,Below 6 Years- T,6 to 12 yrs- M,6 to 12 yrs- F,6 to 12 yrs- T,12  to 16 yrs- M,12  to 16 yrs- F,12  to 16 yrs- T,16  to 18 yrs- M,16  to 18 yrs- F,16  to 18 yrs- T,18 to 30 yrs- M,18 to 30 yrs- F,18 to 30 yrs- T,30 to 60 yrs- M,30 to 60 yrs- F,30 to 60 yrs- T,Above 60 yrs- M,Above 60 yrs- F,Above 60 yrs- T,,,,,,
2017,Ahmedabad,4,1,5,11,4,15,38,56,94,30,83,113,6,7,13,17,5,22,1,0,1,,,,,,
2017,Bengaluru,17,11,28,41,16,57,147,219,366,85,426,511,44,23,67,47,7,54,2,1,3,,,,,,
2017,Chennai,3,4,7,2,3,5,0,1,1,1,7,8,9,3,12,20,0,20,1,0,1,,,,,,
2017,Coimbatore,0,0,0,0,0,0,1,0,1,0,1,1,2,1,3,0,0,0,0,0,0,,,,,,
2017,Delhi,109,72,181,467,293,760,880,1390,2270,510,1462,1972,106,258,364,83,66,149,4,3,7,,,,,,
2017,Ghaziabad,0,1,1,1,1,2,0,1,1,0,1,1,86,311,397,105,30,135,0,0,0,,,,,,
2017,Hyderabad,1,6,7,12,24,36,14,59,73,20,46,66,29,65,94,43,80,123,6,4,10,,,,,,
2017,Indore,0,0,0,0,0,0,125,240,365,0,0,0,5,266,271,15,18,33,0,0,0,,,,,,
2017,Jaipur,4,1,5,20,7,27,55,69,124,46,127,173,26,101,127,17,68,85,0,0,0,,,,,,
2017,Kanpur,0,1,1,11,12,23,55,24,79,48,15,63,3,201,204,20,147,167,1,3,4,,,,,,
2017,Kochi,2,1,3,2,0,2,0,3,3,0,4,4,3,0,3,2,2,4,0,0,0,,,,,,
2017,Kolkata,3,2,5,24,11,35,54,89,143,27,82,109,10,33,43,13,46,59,0,1,1,,,,,,
2017,Kozhikode,0,0,0,0,0,0,0,0,0,1,5,6,2,3,5,1,1,2,0,0,0,,,,,,
2017,Lucknow,16,11,27,185,35,220,74,94,168,9,74,83,8,130,138,3,45,48,0,0,0,,,,,,
2017,Mumbai,42,46,88,154,67,221,350,472,822,104,797,901,225,25,250,0,0,0,0,0,0,,,,,,
2017,Nagpur,3,1,4,24,3,27,69,129,198,71,169,240,3,20,23,24,5,29,0,0,0,,,,,,
