Year,City,sll cases,,,,,,,,,,,,,,,,,,,,,,,
2017,Ahmedabad,118571,,,,,,,,,,,,,,,,,,,,,,,
2017,Bengaluru,97923,,,,,,,,,,,,,,,,,,,,,,,
2017,Chennai,34341,,,,,,,,,,,,,,,,,,,,,,,
2017,Coimbatore,9879,,,,,,,,,,,,,,,,,,,,,,,
2017,Delhi,214107,,,,,,,,,,,,,,,,,,,,,,,
2017,Ghaziabad,15096,,,,,,,,,,,,,,,,,,,,,,,
2017,Hyderabad,45308,,,,,,,,,,,,,,,,,,,,,,,
2017,Indore,56493,,,,,,,,,,,,,,,,,,,,,,,
2017,Jaipur,82917,,,,,,,,,,,,,,,,,,,,,,,
2017,Kanpur,16905,,,,,,,,,,,,,,,,,,,,,,,
2017,Kochi,86267,,,,,,,,,,,,,,,,,,,,,,,
2017,Kolkata,55987,,,,,,,,,,,,,,,,,,,,,,,
2017,Kozhikode,14593,,,,,,,,,,,,,,,,,,,,,,,
2017,Lucknow,34583,,,,,,,,,,,,,,,,,,,,,,,
2017,Mumbai,228635,,,,,,,,,,,,,,,,,,,,,,,
2017,Nagpur,95247,,,,,,,,,,,,,,,,,,,,,,,
2017,Patna,100002,,,,,,,,,,,,,,,,,,,,,,,
2017,Pune,142743,,,,,,,,,,,,,,,,,,,,,,,
2017,Surat,79083,,,,,,,,,,,,,,,,,,,,,,,
2018,Ahmedabad,150162,,,,,,,,,,,,,,,,,,,,,,,
2018,Bengaluru,15230,,,,,,,,,,,,,,,,,,,,,,,
2018,Chennai,94511,,,,,,,,,,,,,,,,,,,,,,,
2018,Coimbatore,13295,,,,,,,,,,,,,,,,,,,,,,,
2018,Delhi,47637,,,,,,,,,,,,,,,,,,,,,,,
2018,Ghaziabad,37534,,,,,,,,,,,,,,,,,,,,,,,
2018,Hyderabad,6196,,,,,,,,,,,,,,,,,,,,,,,
2018,Indore,12450,,,,,,,,,,,,,,,,,,,,,,,
2018,Jaipur,32890,,,,,,,,,,,,,,,,,,,,,,,
2018,Kanpur,17643,,,,,,,,,,,,,,,,,,,,,,,
2018,Kochi,175554,,,,,,,,,,,,,,,,,,,,,,,
2018,Kolkata,8723,,,,,,,,,,,,,,,,,,,,,,,
2018,Kozhikode,10455,,,,,,,,,,,,,,,,,,,,,,,
2018,Lucknow,71492,,,,,,,,,,,,,,,,,,,,,,,
2018,Mumbai,79394,,,,,,,,,,,,,,,,,,,,,,,
2018,Nagpur,110127,,,,,,,,,,,,,,,,,,,,,,,
2018,Patna,17384,,,,,,,,,,,,,,,,,,,,,,,
2018,Pune,163701,,,,,,,,,,,,,,,,,,,,,,,
2018,Surat,354167,,,,,,,,,,,,,,,,,,,,,,,
2019,Ahmedabad,169909,,,,,,,,,,,,,,,,,,,,,,,
2019,Bengaluru,16842,,,,,,,,,,,,,,,,,,,,,,,
2019,Chennai,63435,,,,,,,,,,,,,,,,,,,,,,,
2019,Coimbatore,15422,,,,,,,,,,,,,,,,,,,,,,,
2019,Delhi,58963,,,,,,,,,,,,,,,,,,,,,,,
2019,Ghaziabad,39698,,,,,,,,,,,,,,,,,,,,,,,
2019,Hyderabad,5468,,,,,,,,,,,,,,,,,,,,,,,
2019,Indore,14748,,,,,,,,,,,,,,,,,,,,,,,
2019,Jaipur,36308,,,,,,,,,,,,,,,,,,,,,,,
2019,Kanpur,19165,,,,,,,,,,,,,,,,,,,,,,,
2019,Kochi,163414,,,,,,,,,,,,,,,,,,,,,,,
2019,Kolkata,8723,,,,,,,,,,,,,,,,,,,,,,,
2019,Kozhikode,10376,,,,,,,,,,,,,,,,,,,,,,,
2019,Lucknow,72544,,,,,,,,,,,,,,,,,,,,,,,
2019,Mumbai,88736,,,,,,,,,,,,,,,,,,,,,,,
2019,Nagpur,114659,,,,,,,,,,,,,,,,,,,,,,,
2019,Patna,21868,,,,,,,,,,,,,,,,,,,,,,,
2019,Pune,166225,,,,,,,,,,,,,,,,,,,,,,,
2019,Surat,379814,,,,,,,,,,,,,,,,,,,,,,,
2020,Ahmedabad,181275,,,,,,,,,,,,,,,,,,,,,,,
2020,Bengaluru,21937,,,,,,,,,,,,,,,,,,,,,,,
2020,Chennai,39846,,,,,,,,,,,,,,,,,,,,,,,
2020,Coimbatore,15675,,,,,,,,,,,,,,,,,,,,,,,
2020,Delhi,66260,,,,,,,,,,,,,,,,,,,,,,,
2020,Ghaziabad,43509,,,,,,,,,,,,,,,,,,,,,,,
2020,Hyderabad,6501,,,,,,,,,,,,,,,,,,,,,,,
2020,Indore,15947,,,,,,,,,,,,,,,,,,,,,,,
2020,Jaipur,35830,,,,,,,,,,,,,,,,,,,,,,,
2020,Kanpur,25280,,,,,,,,,,,,,,,,,,,,,,,
2020,Kochi,133761,,,,,,,,,,,,,,,,,,,,,,,
2020,Kolkata,12775,,,,,,,,,,,,,,,,,,,,,,,
2020,Kozhikode,16144,,,,,,,,,,,,,,,,,,,,,,,
2020,Lucknow,60484,,,,,,,,,,,,,,,,,,,,,,,
2020,Mumbai,83906,,,,,,,,,,,,,,,,,,,,,,,
2020,Nagpur,117777,,,,,,,,,,,,,,,,,,,,,,,
2020,Patna,29211,,,,,,,,,,,,,,,,,,,,,,,
2020,Pune,167709,,,,,,,,,,,,,,,,,,,,,,,
2020,Surat,393571,,,,,,,,,,,,,,,,,,,,,,,
2021,Ahmedabad,72430,,,,,,,,,,,,,,,,,,,,,,,
2021,Bengaluru,39135,,,,,,,,,,,,,,,,,,,,,,,
2021,Chennai,178513,,,,,,,,,,,,,,,,,,,,,,,
2021,Coimbatore,10803,,,,,,,,,,,,,,,,,,,,,,,
2021,Delhi,25898,,,,,,,,,,,,,,,,,,,,,,,
2021,Ghaziabad,4244,,,,,,,,,,,,,,,,,,,,,,,
2021,Hyderabad,3574,,,,,,,,,,,,,,,,,,,,,,,
2021,Indore,8139,,,,,,,,,,,,,,,,,,,,,,,
2021,Jaipur,8535,,,,,,,,,,,,,,,,,,,,,,,
2021,Kanpur,3654,,,,,,,,,,,,,,,,,,,,,,,
2021,Kochi,28171,,,,,,,,,,,,,,,,,,,,,,,
2021,Kolkata,4378,,,,,,,,,,,,,,,,,,,,,,,
2021,Kozhikode,5637,,,,,,,,,,,,,,,,,,,,,,,
2021,Lucknow,4696,,,,,,,,,,,,,,,,,,,,,,,
2021,Mumbai,39089,,,,,,,,,,,,,,,,,,,,,,,
2021,Nagpur,11785,,,,,,,,,,,,,,,,,,,,,,,
2021,Patna,8260,,,,,,,,,,,,,,,,,,,,,,,
2021,Pune,6728,,,,,,,,,,,,,,,,,,,,,,,
2021,Surat,44706,,,,,,,,,,,,,,,,,,,,,,,
